date, pm25, pm10, o3, no2, so2, co
2014/1/31, 129, 57, 9, 85, 2, 9
2014/2/1, 135, 49, 7, 59, , 6
2014/2/2, 112, 45, 4, 62, 4, 8
2014/2/3, 98, 54, 10, 69, 9, 9
2014/2/4, 114, 51, 11, 42, , 7
2014/2/5, 104, 33, 13, 45, , 7
2014/2/6, 75, 24, 9, 38, , 6
2014/2/7, 61, 37, 5, 51, 1, 7
2014/2/8, 89, 45, 4, 45, 3, 11
2014/2/9, 115, 22, 10, 38, , 8
2014/2/10, 64, 33, 5, 42, 1, 9
2014/2/11, 84, 46, 5, 52, 2, 9
2014/2/12, 113, 55, 3, 51, 1, 9
2014/2/13, 132, 31, 4, 49, 2, 9
2014/2/14, 83, 50, 4, 59, 3, 9
2014/2/15, 126, 48, 7, 55, 2, 8
2014/2/16, 114, 53, 17, 38, 1, 6
2014/2/17, 119, 54, 10, 45, , 8
2014/2/18, 129, 57, 1, 66, 6, 13
2014/2/19, 126, 23, 3, 49, 1, 10
2014/2/20, 55, 36, 7, 54, 2, 8
2014/2/21, 75, 52, 18, 54, 2, 6
2014/2/22, 104, 52, 27, 52, 2, 6
2014/2/23, 107, 48, 19, 46, 2, 6
2014/2/24, 101, 41, 20, 39, 1, 4
2014/2/25, 82, 46, 17, 46, 1, 6
2014/2/26, 102, 48, 11, 54, 3, 9
2014/2/27, 111, 46, 9, 40, 1, 6
2014/2/28, 105, 51, 18, 39, 1, 6
2014/3/1, 108, 61, 10, 59, 1, 10
2014/3/2, 128, 50, 18, 44, 2, 10
2014/3/3, 117, 44, 22, 37, , 7
2014/3/4, 95, 65, 19, 55, 2, 8
2014/3/5, 140, 57, 19, 46, 3, 10
2014/3/6, 124, 53, 28, 39, 2, 6
2014/3/7, 112, 45, 15, 40, 3, 6
2014/3/8, 98, 47, 13, 49, 3, 7
2014/3/9, 109, 33, 2, 42, 3, 9
2014/3/10, 76, 44, 17, 48, 4, 8
2014/3/11, 97, 68, 22, 58, 6, 8
2014/3/12, 148, 80, 8, 75, 5, 15
2014/3/13, 163, 63, 3, 74, 8, 15
2014/3/14, 138, 61, 11, 58, 4, 11
2014/3/15, 136, 71, 12, 66, 5, 11
2014/3/16, 157, 75, 15, 61, 7, 10
2014/3/17, 148, 66, 14, 51, 2, 9
2014/3/18, 147, 62, 5, 54, 1, 10
2014/3/19, 142, 58, 2, 59, 3, 12
2014/3/20, 132, 64, 2, 70, 23, 13
2014/3/21, 146, 54, 8, 57, 3, 11
2014/3/22, 116, 61, 15, 57, 4, 9
2014/3/23, 132, 48, 23, 45, 2, 6
2014/3/24, 88, 49, 22, 50, 3, 7
2014/3/25, 94, 46, 14, 54, 2, 8
2014/3/26, 94, 78, 12, 59, 7, 10
2014/3/27, 140, 51, 2, 61, 13, 10
2014/3/28, 113, 55, 10, 43, 1, 9
2014/3/29, 132, 52, , 72, 6, 13
2014/3/30, 127, 48, 9, 52, 2, 10
2014/3/31, 111, 32, 23, 56, 2, 9
2014/4/1, 81, 41, 6, 50, 1, 10
2020/4/1, , 29, 21, 22, 3, 4
2020/1/1, , 47, 32, 19, 2, 7
2019/8/9, , 34, 25, 58, 2, 8
2019/1/1, , 43, 2, 31, 4, 9
2018/7/26, , 35, 3, 31, 2, 8
2018/1/1, , 67, 19, 50, 3, 9
2017/9/11, , 33, 2, 53, 6, 2
2016/10/23, , 50, , , , 
2016/3/7, , 43, 15, 36, 5, 6
2016/1/3, , 39, 7, 45, 3, 6
2015/1/1, , 65, 21, 74, 5, 5
2014/1/1, , 79, 18, 91, 12, 12
2018/7/23, , , 2, 28, 2, 7
2018/7/24, , , 10, 21, 1, 7
2018/7/25, , , 5, 31, 2, 7
